ID,名称,实体类型,域归属,重要性,描述,置信度,提取方法
detailed_0,粮税征收,核心资源,人域域;天域域,高,人域向天域缴纳的粮食税收，是基础行政资源,0.9,detailed_mapping
detailed_1,人役征召,核心资源,人域域;天域域,高,天域对人域的人力征召权，包括劳役和兵役,0.9,detailed_mapping
detailed_2,链籍指标,核心资源,人域域;天域域,高,天域制定的链籍管理标准和配额,0.9,detailed_mapping
detailed_3,童生青壮征召,核心资源,人域域;天域域,高,天域优先征召人域的优秀青年,0.9,detailed_mapping
detailed_4,评印权,核心资源,人域域;天域域,高,天域对人域器械和技术的评印审核权威,0.9,detailed_mapping
detailed_5,界核维护承包,核心资源,人域域;天域域,高,人域承担的界核维护工作合同,0.9,detailed_mapping
detailed_6,《链籍法》,法条制度,人域域;天域域,中高,规范链籍管理的基本法律,0.9,detailed_mapping
detailed_7,链祭日,法条制度,人域域;天域域,中高,固定的链法祭祀活动日期,0.9,detailed_mapping
detailed_8,新生链测,法条制度,人域域;天域域,中高,新生儿的链法天赋测试仪式,0.9,detailed_mapping
detailed_9,环约巡誓,法条制度,人域域;天域域,中高,定期进行的环印约定宣誓仪式,0.9,detailed_mapping
detailed_10,万器朝链,法条制度,天域域;灵域域;人域域,中高,所有器械向链法致敬的仪式,0.9,detailed_mapping
detailed_11,评印院年审,法条制度,人域域;天域域,中高,评印院的年度审核制度,0.9,detailed_mapping
detailed_12,巡链官,关键角色,人域域;天域域,中高,负责巡视链法执行情况的天域官员,0.9,detailed_mapping
detailed_13,缚司,关键角色,人域域;天域域,中高,负责约束和管理的执法人员,0.9,detailed_mapping
detailed_14,乡祭/里正,关键角色,人域域;天域域,中高,基层的宗教和行政负责人,0.9,detailed_mapping
detailed_15,被降等的黑籍户,关键角色,人域域;天域域,中高,因违法被降等的问题人员,0.9,detailed_mapping
detailed_16,税收官,关键角色,人域域;天域域,中高,负责税收征收的官员,0.9,detailed_mapping
detailed_17,链籍官,关键角色,人域域;天域域,中高,管理链籍的专门官员,0.9,detailed_mapping
detailed_18,地方领主,关键角色,人域域;天域域,中高,人域的地方统治者,0.9,detailed_mapping
detailed_19,民兵组织,关键角色,人域域;天域域,中高,地方武装力量,0.9,detailed_mapping
detailed_20,链算所参数与标准,核心资源,人域域;灵域域,高,灵域制定的计算和测量标准,0.9,detailed_mapping
detailed_21,学徒供给,核心资源,人域域;灵域域,高,向灵域提供的学徒候选人,0.9,detailed_mapping
detailed_22,低端代工,核心资源,人域域;灵域域,高,人域承担的低技术含量制造工作,0.9,detailed_mapping
detailed_23,链墨/链纤维采购,核心资源,人域域;灵域域,高,灵域从人域采购的基础材料,0.9,detailed_mapping
detailed_24,学徒名额,核心资源,人域域;灵域域,高,灵域提供给人域的学徒培训名额,0.9,detailed_mapping
detailed_25,器械供应,核心资源,人域域;灵域域,高,灵域向人域供应的器械设备,0.9,detailed_mapping
detailed_26,《环印律》,法条制度,人域域;灵域域,中高,规范环印使用的法律条文,0.9,detailed_mapping
detailed_27,《工程链契》,法条制度,人域域;灵域域,中高,工程项目的链法合同规范,0.9,detailed_mapping
detailed_28,师承刻环礼,法条制度,人域域;灵域域,中高,师父收徒弟的正式仪式,0.9,detailed_mapping
detailed_29,学徒三年小试,法条制度,人域域;灵域域,中高,学徒期间的阶段性考核,0.9,detailed_mapping
detailed_30,《工坊用工契》,法条制度,人域域;灵域域,中高,工坊雇佣工人的合同规范,0.9,detailed_mapping
detailed_32,评印院执事,关键角色,人域域;灵域域,中高,评印院的执行官员,0.9,detailed_mapping
detailed_33,链算所监理,关键角色,人域域;灵域域,中高,链算所的监督管理人员,0.9,detailed_mapping
detailed_34,宗匠,关键角色,人域域;灵域域,中高,技艺精湛的手工业大师,0.9,detailed_mapping
detailed_35,公会头人,关键角色,人域域;灵域域,中高,各类工匠公会的领导人,0.9,detailed_mapping
detailed_36,器械师,关键角色,人域域;灵域域,中高,制造和维修器械的技术人员,0.9,detailed_mapping
detailed_37,评印官,关键角色,人域域;灵域域,中高,负责器械评印的官员,0.9,detailed_mapping
detailed_38,学徒候选人,关键角色,人域域;灵域域,中高,希望成为学徒的年轻人,0.9,detailed_mapping
detailed_39,贸易商,关键角色,人域域;灵域域,中高,从事商业贸易的商人,0.9,detailed_mapping
detailed_40,链矿坐标,核心资源,人域域;荒域域,高,链矿位置的精确坐标信息,0.9,detailed_mapping
detailed_41,断链者引渡,核心资源,人域域;荒域域,高,对断链罪犯的引渡处理,0.9,detailed_mapping
detailed_42,边境军镇补给线,核心资源,人域域;荒域域,高,边境军事据点的供应线,0.9,detailed_mapping
detailed_43,边贸粮盐,核心资源,人域域;荒域域,高,边境贸易中的粮食和盐类,0.9,detailed_mapping
detailed_44,链矿走带,核心资源,人域域;荒域域,高,链矿的运输通道,0.9,detailed_mapping
detailed_45,护运与治安,核心资源,人域域;荒域域,高,货物护送和治安维护服务,0.9,detailed_mapping
detailed_46,边防临时断链许可,法条制度,人域域;荒域域,中高,边防特殊情况下的断链授权,0.9,detailed_mapping
detailed_47,裂世夜取缔令,法条制度,人域域;荒域域,中高,裂世夜期间的禁令条例,0.9,detailed_mapping
detailed_48,《边域缚约》,法条制度,人域域;荒域域,中高,边境地区的约束性法规,0.9,detailed_mapping
detailed_49,火灰印通关,法条制度,人域域;荒域域,中高,使用火灰印的通关手续,0.9,detailed_mapping
detailed_50,《互市环约》,法条制度,人域域;荒域域,中高,互市贸易的环印约定,0.9,detailed_mapping
detailed_51,灾年临时断链互助,法条制度,人域域;荒域域,中高,灾害年份的临时断链救助,0.9,detailed_mapping
detailed_52,军镇都尉,关键角色,人域域;荒域域,中高,边境军镇的军事指挥官,0.9,detailed_mapping
detailed_53,断链祭司,关键角色,人域域;荒域域,中高,负责断链仪式的宗教人员,0.9,detailed_mapping
detailed_54,部落首领,关键角色,人域域;荒域域,中高,荒域各部落的领导人,0.9,detailed_mapping
detailed_55,天域密探,关键角色,人域域;荒域域,中高,天域派遣的情报人员,0.9,detailed_mapping
detailed_56,边防军官,关键角色,人域域;荒域域,中高,边境防务的军事官员,0.9,detailed_mapping
detailed_57,走私头目,关键角色,人域域;荒域域,中高,走私集团的首领,0.9,detailed_mapping
detailed_58,边境商人,关键角色,人域域;荒域域,中高,从事边境贸易的商人,0.9,detailed_mapping
detailed_59,流民组织,关键角色,人域域;荒域域,中高,边境地区的流民团体,0.9,detailed_mapping
detailed_60,监管权威,核心资源,天域域;灵域域,高,天域对灵域的监督管理权力,0.9,detailed_mapping
detailed_61,评印体系,核心资源,天域域;灵域域,高,器械和技术的评印认证体系,0.9,detailed_mapping
detailed_62,链法解释权,核心资源,天域域;灵域域,高,对链法条文的最终解释权,0.9,detailed_mapping
detailed_63,《环印律》统一版,法条制度,天域域;灵域域,中高,天域制定的统一环印法律,0.9,detailed_mapping
detailed_64,《工程链契》标准,法条制度,天域域;灵域域,中高,天域规范的工程合同标准,0.9,detailed_mapping
detailed_65,评印院年审制,法条制度,天域域;灵域域,中高,天域对评印院的年度审核制度,0.9,detailed_mapping
detailed_66,监管官,关键角色,天域域;灵域域,中高,天域派驻的监督官员,0.9,detailed_mapping
detailed_67,高级器械师,关键角色,天域域;灵域域,中高,技术等级最高的器械师,0.9,detailed_mapping
detailed_68,链法学者,关键角色,天域域;灵域域,中高,研究链法理论的学者,0.9,detailed_mapping
detailed_69,评印委员会,关键角色,天域域;灵域域,中高,负责评印工作的委员会,0.9,detailed_mapping
detailed_70,断链惩罚权,核心资源,天域域;荒域域,高,天域对断链行为的惩罚权力,0.9,detailed_mapping
detailed_71,矿脉开采权,核心资源,天域域;荒域域,高,荒域矿脉的开采权限,0.9,detailed_mapping
detailed_72,军镇建设权,核心资源,天域域;荒域域,高,在荒域建设军事据点的权力,0.9,detailed_mapping
detailed_73,《边域缚约》执行令,法条制度,天域域;荒域域,中高,边域法规的执行命令,0.9,detailed_mapping
detailed_74,断链者引渡法,法条制度,天域域;荒域域,中高,断链罪犯的引渡法律,0.9,detailed_mapping
detailed_75,荒域开发许可,法条制度,天域域;荒域域,中高,荒域资源开发的许可制度,0.9,detailed_mapping
detailed_76,断链执行官,关键角色,天域域;荒域域,中高,执行断链惩罚的官员,0.9,detailed_mapping
detailed_77,矿业公司,关键角色,天域域;荒域域,中高,从事矿业开采的企业,0.9,detailed_mapping
detailed_78,军镇指挥官,关键角色,天域域;荒域域,中高,荒域军镇的指挥官,0.9,detailed_mapping
detailed_79,荒域部族,关键角色,天域域;荒域域,中高,荒域的原住民部族,0.9,detailed_mapping
detailed_80,断链器与碎链武装交易,核心资源,灵域域;荒域域,高,违禁武器的非法交易,0.9,detailed_mapping
detailed_81,遗迹清道,核心资源,灵域域;荒域域,高,古代遗迹的清理和探索,0.9,detailed_mapping
detailed_82,矿料直采,核心资源,灵域域;荒域域,高,绕过正规渠道的矿料开采,0.9,detailed_mapping
detailed_83,黑市器械,核心资源,灵域域;荒域域,高,在黑市流通的非正规器械,0.9,detailed_mapping
detailed_84,稀有矿料,核心资源,灵域域;荒域域,高,荒域出产的珍贵矿物材料,0.9,detailed_mapping
detailed_85,远古遗械,核心资源,灵域域;荒域域,高,古代遗留的神秘器械,0.9,detailed_mapping
detailed_86,链工博览黑市分会,法条制度,灵域域;荒域域,中高,链工博览会的地下黑市部分,0.9,detailed_mapping
detailed_87,遗迹开发许可证,法条制度,灵域域;荒域域,中高,遗迹探索和开发的许可,0.9,detailed_mapping
detailed_88,《危械禁令》,法条制度,灵域域;荒域域,中高,禁止危险器械的法令,0.9,detailed_mapping
detailed_89,黑市商人,关键角色,灵域域;荒域域,中高,从事黑市交易的商人,0.9,detailed_mapping
detailed_90,矿料走私犯,关键角色,灵域域;荒域域,中高,非法运输矿料的走私者,0.9,detailed_mapping
detailed_91,遗械猎人,关键角色,灵域域;荒域域,中高,专门寻找古代器械的冒险者,0.9,detailed_mapping
detailed_92,考古学者,关键角色,灵域域;荒域域,中高,研究古代文明的学者,0.9,detailed_mapping
hook_entity_0,失踪的税收官引发的政治危机,推断实体,人域;天域,待评估,从剧情钩子'失踪的税收官引发的政治危机...'中提取的实体,0.7,plot_hook_extraction
hook_entity_1,伪造链籍证明的黑市网络,推断实体,人域;天域,待评估,从剧情钩子'伪造链籍证明的黑市网络...'中提取的实体,0.7,plot_hook_extraction
hook_entity_2,伪造评印的器械流入市场,推断实体,人域;灵域,待评估,从剧情钩子'伪造评印的器械流入市场...'中提取的实体,0.7,plot_hook_extraction
hook_entity_3,器械师与评印官的权力斗争,推断实体,人域;灵域,待评估,从剧情钩子'器械师与评印官的权力斗争...'中提取的实体,0.7,plot_hook_extraction
hook_entity_4,边防军官的道德困境,推断实体,人域;荒域,待评估,从剧情钩子'边防军官的道德困境...'中提取的实体,0.7,plot_hook_extraction
hook_entity_5,监管官的腐败丑闻,推断实体,天域;灵域,待评估,从剧情钩子'监管官的腐败丑闻...'中提取的实体,0.7,plot_hook_extraction
hook_entity_6,军镇围困战的绝望与希望,推断实体,天域;荒域,待评估,从剧情钩子'军镇围困战的绝望与希望...'中提取的实体,0.7,plot_hook_extraction
hook_entity_7,传说中的究极器械现世,推断实体,灵域;荒域,待评估,从剧情钩子'传说中的究极器械现世...'中提取的实体,0.7,plot_hook_extraction
